CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;ID02;ID03;ID03_01;ID03_02;ID03_03;ID04;ID04_01;ID04_02;ID04_03;ID06;ID06_01;ID06_02;ID06_03;ID06_04;ID06_05;ID06_06;ID06_07;ID06_07a;ID05_01;SA01_01;SA02_01;SA05_01;CS01_01;CS02_01;CS03_01;CS04_01;ES01_01;FI01_01;TM04;ST01;EV02;EV02_01;EV02_02;EV02_03;EV02_04;EV02_05;EX01_01;MD01_01;MY01_01;SS01_01;SS02_01;SD01_01;AD01;AD01_01;AC01_01;AR01_01;AT01_01;MF01;MF01_13;MF03;MF02;MF02_01;MF02_02;MF02_03;MF02_04;MF02_05;MF02_06;MF02_07;MF02_08;MF02_09;MF02_14;MF02_10;MF02_11;MF02_12;MF02_13;MF02_13a;MF02_15;RM01;RM01_01;RM01_02;RM01_03;RM01_04;RM01_05;RM01_06;RM01_07;RM01_08;RM01_09;RM01_10;RM01_11;RM01_12;RM01_12a;TB01;SL01_01;SL02_01;SB01_01;PO01_01;PO02_01;WS01_01;PS01;PH01;PH01_01;PH01_08;PH01_09;PH01_10;PH01_11;PH01_13;PH01_15;PH01_19;PH01_23;PH01_24;PH01_27;PR01_01;SE01_01;SE02;SE02_01;SE02_02;HS01_01;RE01_01;PT01_01;SF01;IB01_01;AU01_01;TE01;TE01_01;TE01_02;TE01_03;TE01_04;TE01_08;TE01_09;CT02_01;CT02_02;GR01_01;AV01_01;PQ01_01;II01_01;SV01_01;CO01;IL01_01;BC02;CB01_01;IM01_01;US01;US01_01;US01_02;US01_03;US01_04;TIME001;TIME002;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
50;;;base;interview;19.02.2020 11:38;-9;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;0;1;1;1;1;1;-9;-9;-9;-9;-9;-9;-9;;B_Apr_Oreg_7;1;;-9;;-9;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;-9;-9;-9;-9;-9;-9;-9;-9;0;1;1;1;1;1;1;1;1;1;1;1;-9;-9;0;1;1;-9;;-9;-9;-9;-9;0;1;1;1;1;1;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;;;;;;1063;173;265;;15.03.2020 22:53;1;0;2;2;97;96;0.8;13
51;;;base;interview;19.02.2020 12:13;-9;1;1;2;1;0;1;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;3;1;1;2;1;1;1;1;1;1;1;1;1;1;-9;;B_Apr_Oreg_8;2;01.04.2019;6;;14;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;5;1;1;1;1;1;1;4;0;1;1;1;1;1;1;1;1;1;1;1;2;1;0;1;1;1;;1;-9;1;1;0;1;1;1;1;1;1;1;1;2;2;1;1;1;-9;1;-9;1;1;0;1;1;1;1;628;1058;1686;;22.06.2020 13:02;1;0;2;2;22;5;0.2;0
52;;;base;interview;19.02.2020 12:23;-9;1;1;2;1;1;1;2;1;0;1;1;1;1;1;1;1;;2;1;1;1;1;1;1;1;1;1;3;2;1;1;1;1;2;1;1;1;1;1;1;1;-9;;B_Apr_Wash_8;2;01.04.2019;2;;13;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;5;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;-9;1;-9;1;1;;;;;;320;512;832;;15.03.2020 22:54;1;0;2;2;20;4;0.4;0
53;;;base;interview;19.02.2020 13:48;-9;1;2;1;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;3;1;1;2;1;1;1;1;1;2;1;1;1;1;-9;;B_Apr_Oreg_9;2;02.04.2019;9;;15;5;1;1;2;1;1;1;1;1;2;1;1;1;2;2;Depression;2;0;1;1;1;1;1;1;1;1;1;1;1;1;;4;1;1;1;1;1;1;2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;2;0;1;1;1;1;1;1;1;1;1;1;1;2;1;-9;1;-9;1;1;;;;;;260;738;998;;30.03.2020 15:10;1;0;2;2;20;4;0.35;0
54;;;base;interview;19.02.2020 13:56;-9;1;2;1;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;3;1;1;2;1;1;1;1;1;1;2;2;1;2;-9;;B_Apr_Oreg_10;2;02.04.2019;1;;13;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;;1;1;1;1;2;1;1;1;1;1;1;1;1;1;;5;1;1;1;1;1;1;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;2;0;1;1;1;1;1;1;2;1;1;1;1;1;1;-9;1;-9;1;1;;;;;;354;787;1141;;30.03.2020 15:13;1;0;2;2;19;3;0.3;0
56;;;base;interview;19.02.2020 14:20;-9;1;1;2;1;0;1;1;1;1;1;1;1;1;1;1;2;Prisoners;1;1;2;1;1;1;1;1;1;1;4;1;1;1;1;1;2;1;2;2;1;1;1;2;-9;;B_Apr_Oreg_12;2;02.04.2019;1;;13;3;2;1;1;1;1;1;1;1;1;1;2;2;1;1;;1;1;2;1;1;1;1;1;1;1;1;1;1;1;;6;1;1;1;1;1;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;2;1;1;1;-9;1;-9;1;1;0;1;1;1;1;1021;1107;1199;;06.07.2020 15:08;1;0;2;2;18;3;0.16;0
58;;;base;interview;19.02.2020 15:22;-9;0;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;2;1;4;1;1;1;1;1;2;1;1;1;1;1;1;1;-9;;B_Apr_Oreg_14;2;02.04.2019;1;;14;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;6;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;-9;2;1;1;1;;;;;;305;562;867;;15.03.2020 23:03;1;0;2;2;20;5;0.38;0
59;;;base;interview;19.02.2020 15:31;-9;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;4;1;0;1;1;1;1;1;1;1;1;1;1;1;-9;;B_Apr_Oreg_15;2;02.04.2019;1;;14;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;6;1;1;2;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;1;0;1;1;1;1;1;1;1;1;2;1;1;1;1;-9;2;1;1;2;0;1;1;1;1;185;1461;1646;;06.07.2020 14:20;1;0;2;2;23;7;0.34;0
60;;;base;interview;19.02.2020 15:48;4;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;;2;1;1;2;1;1;1;1;1;1;4;1;0;1;1;1;1;1;1;1;1;1;1;1;-9;;B_Apr_Oreg_16;2;03.04.2019;1;;13;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;1;0;1;1;1;1;1;1;1;1;2;1;1;1;1;-9;2;1;1;1;0;1;1;1;1;565;916;1481;;23.06.2020 13:28;1;0;2;2;17;4;0.22;0
61;;;base;interview;19.02.2020 16:28;2;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;;2;1;1;1;1;1;1;1;2;1;4;-9;0;1;1;1;1;1;1;2;1;1;1;2;-9;;B_Apr_Wash_9;2;03.04.2019;1;;13;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;2;1;1;1;1;1;1;1;;7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;2;1;0;1;1;1;1;1;1;1;1;2;1;1;1;1;-9;1;1;1;2;;;;;;183;686;869;;15.03.2020 23:06;1;0;2;2;17;5;0.44;0
62;;;base;interview;19.02.2020 16:34;-9;0;1;1;1;2;2;2;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;3;1;1;2;1;1;1;1;1;1;1;1;1;2;-9;;B_Apr_Oreg_17;2;03.04.2019;9;;14;3;2;1;1;1;1;1;1;1;2;1;1;2;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;7;1;1;1;1;1;1;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;1;2;1;1;-9;1;-9;1;1;;;;;;895;562;654;;15.03.2020 23:09;1;0;2;2;22;5;0.28;0
63;;;base;interview;19.02.2020 16:57;-9;0;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;2;1;1;1;1;1;1;1;1;-9;;B_Apr_Oreg_18;2;03.04.2019;1;;14;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;-9;1;1;1;1;;;;;;272;1090;1362;;15.03.2020 23:14;1;0;2;2;20;5;0.29;0
65;;;base;interview;19.02.2020 17:17;-9;0;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;3;1;1;2;1;1;1;1;1;1;1;1;1;2;-9;;B_Apr_Oreg_20;2;03.04.2019;11;;14;3;2;1;1;1;1;1;1;1;2;1;1;2;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;2;1;1;1;1;1;1;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;B_Apr_Oreg_17;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;1;2;1;1;-9;1;-9;1;1;;;;;;198;573;771;;30.03.2020 15:12;1;0;2;2;20;4;0.46;0
67;;;base;interview;20.02.2020 10:05;-9;1;1;2;1;1;1;2;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;2;1;1;2;1;1;1;1;1;-9;;B_Apr_Oreg_22;2;03.04.2019;11;;13;2;1;1;1;1;2;1;1;1;1;1;1;2;1;1;;1;1;1;1;1;1;1;1;1;1;1;2;1;1;;2;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;-9;1;-9;1;1;;;;;;226;524;750;;02.03.2020 10:10;1;0;2;2;17;3;0.45;0
68;;;base;interview;20.02.2020 10:30;-9;1;2;1;1;1;1;2;1;2;1;2;1;1;1;1;2;Retired;1;1;1;1;2;1;1;1;1;1;4;2;2;1;1;1;2;2;1;1;2;1;1;2;-9;;B_Apr_Wash_10;2;03.04.2019;12;;13;4;2;1;2;1;1;1;1;1;1;1;1;1;2;1;;2;2;1;1;1;2;2;1;1;1;1;1;1;1;;2;1;1;1;2;1;2;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;B_Apr_Wash_3;1;-9;1;2;0;1;1;1;1;1;1;1;1;1;1;1;2;1;-9;1;-9;1;1;;;;;;328;1517;1845;;15.03.2020 23:18;1;0;2;2;15;2;0.23;0
69;;;base;interview;20.02.2020 10:43;-9;1;1;2;1;1;1;2;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;4;1;1;1;1;2;1;1;2;1;1;1;1;1;-9;;B_Apr_Oreg_23;2;03.04.2019;5;;13;2;1;1;1;1;2;1;1;1;1;1;1;2;1;1;;1;1;1;1;1;1;1;1;1;1;1;2;1;1;;2;1;1;1;1;1;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;B_Apr_Oreg_21;1;-9;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;-9;1;-9;1;1;0;1;1;1;1;229;521;750;;06.07.2020 14:22;1;0;2;2;15;2;0.45;0
70;;;base;interview;20.02.2020 10:52;1;1;1;2;1;1;1;2;1;0;1;1;1;1;1;1;1;;1;1;2;1;1;1;1;1;1;1;4;2;1;1;1;2;1;1;2;1;1;1;1;1;-9;;B_Apr_Wash_11;2;03.04.2019;11;;13;2;1;1;1;1;2;1;1;1;1;1;1;2;1;1;;1;1;1;1;1;1;1;1;1;1;1;2;1;1;;3;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;-9;1;-9;1;-9;;;;;;1249;431;523;;16.03.2020 00:25;1;0;2;2;17;4;0.34;0
